venue_name,season,id,total_balls,total_runs,target_runs,total_boundaries
"M.Chinnaswamy Stadium, Bengaluru",2015,829785,202,314.0,226,43.0
"Brabourne Stadium, Mumbai",2015,829787,240,395.0,201,56.0
"Eden Gardens, Kolkata",2015,829761,240,329.0,171,43.0
"MA Chidambaram Stadium, Chepauk, Chennai",2015,829789,236,317.0,158,37.0
"Eden Gardens, Kolkata",2015,829791,239,367.0,183,50.0
"Shaheed Veer Narayan Singh International Stadium, Raipur",2015,829793,240,320.0,163,38.0
"Wankhede Stadium, Mumbai",2015,829795,240,431.0,235,61.0
"MA Chidambaram Stadium, Chepauk, Chennai",2015,829797,240,302.0,157,33.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2015,829799,240,365.0,185,48.0
"Shaheed Veer Narayan Singh International Stadium, Raipur",2015,829801,220,239.0,119,31.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2015,829803,120,190.0,106,21.0
"Wankhede Stadium, Mumbai",2015,829805,240,337.0,171,44.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2015,829807,101,218.0,135,30.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2015,829809,221,264.0,130,30.0
"Brabourne Stadium, Mumbai",2015,829811,240,389.0,199,52.0
"M.Chinnaswamy Stadium, Bengaluru",2015,829813,127,189.0,187,23.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2015,829815,203,227.0,113,25.0
"Wankhede Stadium, Mumbai",2015,829817,234,349.0,187,41.0
"Maharashtra Cricket Association Stadium, Pune",2015,829819,234,289.0,180,34.0
"JSCA International Stadium Complex, Ranchi",2015,829821,239,279.0,139,28.0
"Eden Gardens, Kolkata",2015,829823,240,363.0,202,50.0
"Sheikh Zayed Stadium, Abu Dhabi",2014,729279,240,285.0,163,28.0
Sharjah Cricket Stadium,2014,729281,220,291.0,145,33.0
"Sheikh Zayed Stadium, Abu Dhabi",2014,729283,233,411.0,205,56.0
"Sheikh Zayed Stadium, Abu Dhabi",2014,729285,237,268.0,133,23.0
Dubai International Cricket Stadium,2014,729287,225,231.0,115,21.0
Dubai International Cricket Stadium,2014,729289,237,333.0,166,37.0
Sharjah Cricket Stadium,2014,729291,232,384.0,191,50.0
"Sheikh Zayed Stadium, Abu Dhabi",2014,729293,214,261.0,177,26.0
Sharjah Cricket Stadium,2014,729295,236,314.0,193,37.0
Dubai International Cricket Stadium,2014,729297,239,273.0,140,26.0
Sharjah Cricket Stadium,2014,729299,240,298.0,150,32.0
Dubai International Cricket Stadium,2014,729301,240,364.0,184,48.0
Dubai International Cricket Stadium,2014,729303,234,283.0,141,32.0
"Sheikh Zayed Stadium, Abu Dhabi",2014,729305,168,141.0,70,15.0
"Sheikh Zayed Stadium, Abu Dhabi",2014,729307,230,241.0,132,25.0
Sharjah Cricket Stadium,2014,729309,233,251.0,125,25.0
Sharjah Cricket Stadium,2014,729311,237,291.0,145,30.0
Dubai International Cricket Stadium,2014,729313,233,251.0,124,25.0
"Sheikh Zayed Stadium, Abu Dhabi",2014,729315,240,304.0,152,32.0
Dubai International Cricket Stadium,2014,729317,240,329.0,172,36.0
"JSCA International Stadium Complex, Ranchi",2014,733971,204,262.0,148,32.0
"Wankhede Stadium, Mumbai",2014,733973,235,338.0,168,46.0
"Arun Jaitley Stadium, Delhi",2014,733975,231,308.0,152,37.0
"M.Chinnaswamy Stadium, Bengaluru",2014,733977,239,313.0,155,40.0
"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2014,733979,240,330.0,170,35.0
"Arun Jaitley Stadium, Delhi",2014,733981,238,359.0,178,50.0
"Wankhede Stadium, Mumbai",2014,733983,240,355.0,187,45.0
"Arun Jaitley Stadium, Delhi",2014,733985,230,321.0,160,36.0
"Barabati Stadium, Cuttack",2014,733987,240,418.0,231,60.0
"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2014,733989,239,236.0,134,22.0
"M.Chinnaswamy Stadium, Bengaluru",2014,733991,240,364.0,198,48.0
"Arun Jaitley Stadium, Delhi",2014,733993,146,187.0,143,19.0
"Wankhede Stadium, Mumbai",2014,733995,237,317.0,157,37.0
"Barabati Stadium, Cuttack",2014,733997,228,299.0,149,38.0
"M.Chinnaswamy Stadium, Bengaluru",2014,733999,233,381.0,190,54.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2014,734001,232,317.0,157,42.0
"JSCA International Stadium Complex, Ranchi",2014,734003,238,297.0,148,31.0
"M.Chinnaswamy Stadium, Bengaluru",2014,734005,240,356.0,186,42.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2014,734007,232,416.0,205,57.0
"Barabati Stadium, Cuttack",2014,734009,232,283.0,141,32.0
"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2014,734011,240,340.0,201,40.0
"JSCA International Stadium Complex, Ranchi",2014,734013,239,280.0,138,30.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2014,734015,238,288.0,142,35.0
"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2014,734017,240,331.0,178,36.0
"Arun Jaitley Stadium, Delhi",2014,734019,238,329.0,164,40.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2014,734021,238,321.0,160,38.0
"Eden Gardens, Kolkata",2014,734023,228,310.0,154,39.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2014,734025,234,315.0,156,38.0
"Eden Gardens, Kolkata",2014,734027,240,360.0,195,45.0
"JSCA International Stadium Complex, Ranchi",2014,734029,238,374.0,185,49.0
"Wankhede Stadium, Mumbai",2014,734031,237,331.0,173,42.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2014,734033,240,342.0,179,39.0
"M.Chinnaswamy Stadium, Bengaluru",2014,734035,226,314.0,154,36.0
"Eden Gardens, Kolkata",2014,734037,206,321.0,160,49.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2014,734039,192,234.0,115,29.0
"Wankhede Stadium, Mumbai",2014,734041,208,384.0,189,57.0
"Eden Gardens, Kolkata",2014,734043,240,298.0,163,36.0
"Brabourne Stadium, Mumbai",2014,734045,232,349.0,173,46.0
"Wankhede Stadium, Mumbai",2014,734047,240,428.0,226,59.0
"M.Chinnaswamy Stadium, Bengaluru",2014,734049,237,399.0,199,53.0
"Eden Gardens, Kolkata",2013,597998,232,257.0,128,32.0
"M.Chinnaswamy Stadium, Bengaluru",2013,597999,240,310.0,156,40.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2013,598000,233,230.0,126,21.0
"Arun Jaitley Stadium, Delhi",2013,598001,240,325.0,165,35.0
"MA Chidambaram Stadium, Chepauk, Chennai",2013,598002,240,287.0,148,32.0
"Maharashtra Cricket Association Stadium, Pune",2013,598003,194,199.0,99,26.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2013,598004,240,260.0,130,20.0
"Sawai Mansingh Stadium, Jaipur",2013,598005,234,269.0,144,31.0
"M.Chinnaswamy Stadium, Bengaluru",2013,598048,226,323.0,161,41.0
"Wankhede Stadium, Mumbai",2013,598006,240,374.0,209,51.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2013,598007,223,277.0,138,33.0
"M.Chinnaswamy Stadium, Bengaluru",2013,598008,225,312.0,154,42.0
"Maharashtra Cricket Association Stadium, Pune",2013,598009,232,293.0,145,37.0
"Arun Jaitley Stadium, Delhi",2013,598010,236,229.0,114,24.0
"Wankhede Stadium, Mumbai",2013,598011,240,325.0,183,41.0
"MA Chidambaram Stadium, Chepauk, Chennai",2013,598012,239,331.0,165,34.0
"Eden Gardens, Kolkata",2013,598013,240,312.0,180,36.0
"Sawai Mansingh Stadium, Jaipur",2013,598014,229,250.0,124,31.0
"MA Chidambaram Stadium, Chepauk, Chennai",2013,598015,240,294.0,159,34.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2013,598016,240,310.0,157,38.0
"M.Chinnaswamy Stadium, Bengaluru",2013,598017,240,304.0,152,36.0
"Maharashtra Cricket Association Stadium, Pune",2013,598018,234,227.0,119,23.0
"Sawai Mansingh Stadium, Jaipur",2013,598019,230,271.0,179,30.0
"Arun Jaitley Stadium, Delhi",2013,598020,225,252.0,169,28.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2013,598021,233,250.0,123,26.0
"Eden Gardens, Kolkata",2013,598022,235,243.0,119,27.0
"M.Chinnaswamy Stadium, Bengaluru",2013,598023,225,240.0,117,30.0
"Arun Jaitley Stadium, Delhi",2013,598024,222,326.0,161,43.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2013,598025,239,371.0,185,47.0
"MA Chidambaram Stadium, Chepauk, Chennai",2013,598026,239,371.0,185,41.0
"M.Chinnaswamy Stadium, Bengaluru",2013,598027,240,396.0,263,60.0
"Arun Jaitley Stadium, Delhi",2013,598059,222,241.0,120,28.0
"Eden Gardens, Kolkata",2013,598029,239,321.0,159,37.0
"MA Chidambaram Stadium, Chepauk, Chennai",2013,598030,238,319.0,159,42.0
"Eden Gardens, Kolkata",2013,598031,230,299.0,149,40.0
"Sawai Mansingh Stadium, Jaipur",2013,598032,227,290.0,144,41.0
"Wankhede Stadium, Mumbai",2013,598033,240,330.0,194,41.0
"MA Chidambaram Stadium, Chepauk, Chennai",2013,598034,240,386.0,200,51.0
"Shaheed Veer Narayan Singh International Stadium, Raipur",2013,598035,240,313.0,164,39.0
"Sawai Mansingh Stadium, Jaipur",2013,598036,239,344.0,171,41.0
"Wankhede Stadium, Mumbai",2013,598037,240,344.0,174,43.0
"Maharashtra Cricket Association Stadium, Pune",2013,598038,240,291.0,164,31.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2013,598039,228,259.0,129,30.0
"Shaheed Veer Narayan Singh International Stadium, Raipur",2013,598040,227,273.0,136,35.0
"MA Chidambaram Stadium, Chepauk, Chennai",2013,598041,240,357.0,186,45.0
"Maharashtra Cricket Association Stadium, Pune",2013,598042,240,357.0,187,43.0
"Eden Gardens, Kolkata",2013,598043,224,265.0,132,28.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2013,598044,198,161.0,80,14.0
"Wankhede Stadium, Mumbai",2013,598046,212,218.0,139,24.0
"Sawai Mansingh Stadium, Jaipur",2013,598047,239,360.0,178,50.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2013,598064,228,384.0,190,53.0
"Sawai Mansingh Stadium, Jaipur",2013,598049,227,309.0,154,38.0
"Wankhede Stadium, Mumbai",2013,598050,230,275.0,170,36.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2013,598051,240,369.0,223,48.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2013,598052,234,292.0,145,31.0
"Maharashtra Cricket Association Stadium, Pune",2013,598053,237,258.0,152,25.0
"Arun Jaitley Stadium, Delhi",2013,598054,240,362.0,183,51.0
"Maharashtra Cricket Association Stadium, Pune",2013,598055,233,228.0,112,22.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2013,598056,240,270.0,150,32.0
"JSCA International Stadium Complex, Ranchi",2013,598057,236,231.0,115,21.0
"Sawai Mansingh Stadium, Jaipur",2013,598058,223,285.0,141,36.0
"Wankhede Stadium, Mumbai",2013,598060,237,362.0,178,47.0
"M.Chinnaswamy Stadium, Bengaluru",2013,598045,229,350.0,174,50.0
"MA Chidambaram Stadium, Chepauk, Chennai",2013,598062,240,303.0,168,28.0
"JSCA International Stadium Complex, Ranchi",2013,598061,240,333.0,170,38.0
"Wankhede Stadium, Mumbai",2013,598063,240,318.0,166,40.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",2013,598028,240,335.0,171,47.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2013,598065,240,249.0,136,20.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",2013,598066,235,316.0,183,44.0
"M.Chinnaswamy Stadium, Bengaluru",2013,598068,96,188.0,106,29.0
"Maharashtra Cricket Association Stadium, Pune",2013,598067,240,306.0,172,36.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2013,598069,233,262.0,130,27.0
"Arun Jaitley Stadium, Delhi",2013,598070,232,336.0,192,41.0
"Arun Jaitley Stadium, Delhi",2013,598071,236,267.0,132,33.0
"Eden Gardens, Kolkata",2013,598072,239,334.0,165,44.0
"Eden Gardens, Kolkata",2013,598073,240,273.0,148,35.0
"MA Chidambaram Stadium, Chepauk, Chennai",2012,548306,220,227.0,112,21.0
"Eden Gardens, Kolkata",2012,548307,139,197.0,97,23.0
"Wankhede Stadium, Mumbai",2012,548308,240,230.0,129,21.0
"Sawai Mansingh Stadium, Jaipur",2012,548309,240,351.0,191,44.0
"M.Chinnaswamy Stadium, Bengaluru",2012,548310,240,294.0,157,34.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2012,548311,223,312.0,193,37.0
"Sawai Mansingh Stadium, Jaipur",2012,548312,240,306.0,164,34.0
"Maharashtra Cricket Association Stadium, Pune",2012,548313,240,310.0,166,33.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2012,548314,240,280.0,138,30.0
"M.Chinnaswamy Stadium, Bengaluru",2012,548315,240,288.0,165,32.0
"Arun Jaitley Stadium, Delhi",2012,548316,200,221.0,110,24.0
"Wankhede Stadium, Mumbai",2012,548317,238,367.0,197,48.0
"MA Chidambaram Stadium, Chepauk, Chennai",2012,548318,240,413.0,205,52.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2012,548319,220,231.0,115,27.0
"Eden Gardens, Kolkata",2012,548320,236,268.0,131,29.0
"Maharashtra Cricket Association Stadium, Pune",2012,548322,236,311.0,155,34.0
"Eden Gardens, Kolkata",2012,548323,240,266.0,134,24.0
"M.Chinnaswamy Stadium, Bengaluru",2012,548324,239,331.0,195,44.0
"Wankhede Stadium, Mumbai",2012,548325,205,185.0,92,19.0
"Sawai Mansingh Stadium, Jaipur",2012,548326,238,393.0,196,53.0
"M.Chinnaswamy Stadium, Bengaluru",2012,548327,240,368.0,182,44.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2012,548328,219,251.0,124,25.0
"Arun Jaitley Stadium, Delhi",2012,548321,230,324.0,157,42.0
"MA Chidambaram Stadium, Chepauk, Chennai",2012,548330,240,315.0,164,33.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2012,548331,237,329.0,163,36.0
"MA Chidambaram Stadium, Chepauk, Chennai",2012,548332,240,293.0,146,31.0
"Arun Jaitley Stadium, Delhi",2012,548333,240,364.0,192,47.0
"Wankhede Stadium, Mumbai",2012,548334,237,327.0,163,39.0
"Barabati Stadium, Cuttack",2012,548335,234,253.0,126,24.0
"Sawai Mansingh Stadium, Jaipur",2012,548336,240,332.0,189,39.0
"Maharashtra Cricket Association Stadium, Pune",2012,548337,216,294.0,146,35.0
"Eden Gardens, Kolkata",2012,548338,0,,,
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2012,548339,239,339.0,168,38.0
"M.Chinnaswamy Stadium, Bengaluru",2012,548340,0,,,
"Maharashtra Cricket Association Stadium, Pune",2012,548341,240,336.0,177,37.0
"Arun Jaitley Stadium, Delhi",2012,548342,240,377.0,207,54.0
"MA Chidambaram Stadium, Chepauk, Chennai",2012,548343,240,305.0,156,34.0
"Eden Gardens, Kolkata",2012,548344,240,333.0,190,46.0
"Arun Jaitley Stadium, Delhi",2012,548345,240,303.0,152,36.0
"Wankhede Stadium, Mumbai",2012,548346,221,201.0,100,18.0
"MA Chidambaram Stadium, Chepauk, Chennai",2012,548347,238,279.0,139,22.0
"Barabati Stadium, Cuttack",2012,548348,240,359.0,186,43.0
"Sawai Mansingh Stadium, Jaipur",2012,548349,212,285.0,141,38.0
"M.Chinnaswamy Stadium, Bengaluru",2012,548350,239,321.0,158,39.0
"Maharashtra Cricket Association Stadium, Pune",2012,548351,240,239.0,120,25.0
"MA Chidambaram Stadium, Chepauk, Chennai",2012,548352,240,310.0,160,30.0
"Eden Gardens, Kolkata",2012,548353,240,293.0,150,28.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2012,548354,240,311.0,177,40.0
"Wankhede Stadium, Mumbai",2012,548355,240,347.0,173,47.0
"M.Chinnaswamy Stadium, Bengaluru",2012,548356,233,366.0,181,50.0
"Arun Jaitley Stadium, Delhi",2012,548357,232,307.0,153,32.0
"Maharashtra Cricket Association Stadium, Pune",2012,548358,218,251.0,125,24.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2012,548359,240,315.0,170,36.0
"Wankhede Stadium, Mumbai",2012,548360,228,283.0,141,32.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2012,548329,200,386.0,187,50.0
"Sawai Mansingh Stadium, Jaipur",2012,548361,229,253.0,126,30.0
"Maharashtra Cricket Association Stadium, Pune",2012,548362,240,311.0,173,38.0
"Eden Gardens, Kolkata",2012,548363,240,337.0,182,44.0
"MA Chidambaram Stadium, Chepauk, Chennai",2012,548364,212,229.0,114,22.0
"Sawai Mansingh Stadium, Jaipur",2012,548365,240,295.0,170,34.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2012,548366,240,384.0,190,48.0
"M.Chinnaswamy Stadium, Bengaluru",2012,548367,238,344.0,171,43.0
"Eden Gardens, Kolkata",2012,548368,240,318.0,158,40.0
"Arun Jaitley Stadium, Delhi",2012,548369,234,276.0,136,41.0
"Wankhede Stadium, Mumbai",2012,548370,235,248.0,140,27.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",2012,548371,219,243.0,120,35.0
"Arun Jaitley Stadium, Delhi",2012,548372,240,409.0,215,58.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2012,548373,232,254.0,126,25.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",2012,548374,230,286.0,141,42.0
"Maharashtra Cricket Association Stadium, Pune",2012,548375,240,238.0,136,17.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2012,548376,240,255.0,132,24.0
"Sawai Mansingh Stadium, Jaipur",2012,548377,228,325.0,162,38.0
"Maharashtra Cricket Association Stadium, Pune",2012,548378,240,306.0,162,37.0
"M.Chinnaswamy Stadium, Bengaluru",2012,548379,240,336.0,187,48.0
"MA Chidambaram Stadium, Chepauk, Chennai",2012,548380,221,358.0,222,47.0
"MA Chidambaram Stadium, Chepauk, Chennai",2012,548381,238,382.0,190,45.0
"MA Chidambaram Stadium, Chepauk, Chennai",2011,501198,240,304.0,153,35.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2011,501199,233,278.0,137,33.0
"Nehru Stadium, Kochi",2011,501200,232,323.0,161,37.0
"Arun Jaitley Stadium, Delhi",2011,501201,207,194.0,95,20.0
"Dr DY Patil Sports Academy, Mumbai",2011,501202,199,225.0,112,31.0
"Eden Gardens, Kolkata",2011,501203,240,317.0,163,41.0
"Sawai Mansingh Stadium, Jaipur",2011,501204,231,303.0,151,39.0
"M.Chinnaswamy Stadium, Bengaluru",2011,501205,231,283.0,140,35.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2011,501206,235,381.0,188,53.0
"Dr DY Patil Sports Academy, Mumbai",2011,501207,233,299.0,148,34.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2011,501208,240,317.0,175,38.0
"Sawai Mansingh Stadium, Jaipur",2011,501209,231,319.0,159,36.0
"Wankhede Stadium, Mumbai",2011,501210,234,366.0,182,50.0
"MA Chidambaram Stadium, Chepauk, Chennai",2011,501211,240,345.0,183,43.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2011,501212,226,331.0,165,43.0
"Dr DY Patil Sports Academy, Mumbai",2011,501213,236,377.0,187,49.0
"Eden Gardens, Kolkata",2011,501214,175,166.0,81,15.0
"Nehru Stadium, Kochi",2011,501215,192,266.0,131,37.0
"Arun Jaitley Stadium, Delhi",2011,501216,240,304.0,168,34.0
"M.Chinnaswamy Stadium, Bengaluru",2011,501217,0,,,
"Wankhede Stadium, Mumbai",2011,501218,224,242.0,118,26.0
"Eden Gardens, Kolkata",2011,501219,240,258.0,132,26.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2011,501220,240,342.0,195,44.0
"Eden Gardens, Kolkata",2011,501222,229,346.0,171,46.0
"Wankhede Stadium, Mumbai",2011,501221,240,320.0,164,40.0
"Arun Jaitley Stadium, Delhi",2011,501223,240,433.0,231,64.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2011,501224,240,307.0,172,38.0
"Sawai Mansingh Stadium, Jaipur",2011,501225,205,220.0,109,22.0
"MA Chidambaram Stadium, Chepauk, Chennai",2011,501226,240,259.0,142,22.0
"Arun Jaitley Stadium, Delhi",2011,501227,237,321.0,160,40.0
"Dr DY Patil Sports Academy, Mumbai",2011,501228,237,286.0,141,31.0
"Nehru Stadium, Kochi",2011,501229,219,203.0,129,23.0
"Arun Jaitley Stadium, Delhi",2011,501230,240,279.0,148,30.0
"Sawai Mansingh Stadium, Jaipur",2011,501231,229,189.0,94,15.0
"M.Chinnaswamy Stadium, Bengaluru",2011,501232,240,336.0,181,40.0
"Nehru Stadium, Kochi",2011,501233,233,276.0,157,31.0
"Eden Gardens, Kolkata",2011,501234,224,239.0,119,26.0
"Sawai Mansingh Stadium, Jaipur",2011,501235,237,287.0,143,32.0
"MA Chidambaram Stadium, Chepauk, Chennai",2011,501236,240,311.0,165,34.0
"Wankhede Stadium, Mumbai",2011,501237,240,295.0,159,35.0
"Arun Jaitley Stadium, Delhi",2011,501238,210,281.0,140,38.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2011,501239,240,318.0,169,33.0
"MA Chidambaram Stadium, Chepauk, Chennai",2011,501240,232,296.0,147,32.0
"Dr DY Patil Sports Academy, Mumbai",2011,501241,240,299.0,160,34.0
"Nehru Stadium, Kochi",2011,501242,240,295.0,156,34.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2011,501243,228,358.0,175,48.0
"M.Chinnaswamy Stadium, Bengaluru",2011,501244,240,325.0,205,46.0
"Eden Gardens, Kolkata",2011,501245,180,175.0,114,15.0
"Wankhede Stadium, Mumbai",2011,501246,239,324.0,178,47.0
"M.Chinnaswamy Stadium, Bengaluru",2011,501247,199,253.0,125,32.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2011,501248,223,239.0,119,29.0
"Sawai Mansingh Stadium, Jaipur",2011,501249,237,329.0,196,37.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2011,501250,230,273.0,136,35.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2011,501251,197,250.0,163,30.0
"Sawai Mansingh Stadium, Jaipur",2011,501252,222,297.0,146,37.0
"MA Chidambaram Stadium, Chepauk, Chennai",2011,501253,240,334.0,176,40.0
"Holkar Cricket Stadium, Indore",2011,501254,233,359.0,178,46.0
"M.Chinnaswamy Stadium, Bengaluru",2011,501255,153,194.0,89,25.0
"Wankhede Stadium, Mumbai",2011,501256,240,260.0,135,25.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",2011,501257,240,311.0,170,44.0
"Holkar Cricket Stadium, Indore",2011,501258,155,195.0,97,29.0
"Dr DY Patil Sports Academy, Mumbai",2011,501259,236,274.0,136,31.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",2011,501260,222,353.0,232,48.0
"MA Chidambaram Stadium, Chepauk, Chennai",2011,501261,240,293.0,152,29.0
"Dr DY Patil Sports Academy, Mumbai",2011,501262,220,237.0,118,25.0
"Wankhede Stadium, Mumbai",2011,501263,199,267.0,133,35.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",2011,501264,234,314.0,198,39.0
"Arun Jaitley Stadium, Delhi",2011,501265,61,,56,
"M.Chinnaswamy Stadium, Bengaluru",2011,501266,228,257.0,128,30.0
"Eden Gardens, Kolkata",2011,501267,240,353.0,175,46.0
"Wankhede Stadium, Mumbai",2011,501268,238,352.0,175,44.0
"Wankhede Stadium, Mumbai",2011,501269,236,295.0,147,39.0
"MA Chidambaram Stadium, Chepauk, Chennai",2011,501270,240,327.0,185,38.0
"MA Chidambaram Stadium, Chepauk, Chennai",2011,501271,240,352.0,205,35.0
"Dr DY Patil Sports Academy, Mumbai",2010,419106,240,311.0,161,34.0
"Brabourne Stadium, Mumbai",2010,419107,240,420.0,212,58.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2010,419108,239,288.0,142,33.0
"Eden Gardens, Kolkata",2010,419109,236,271.0,135,32.0
"MA Chidambaram Stadium, Chepauk, Chennai",2010,419110,240,349.0,190,43.0
"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2010,419111,223,283.0,141,35.0
"M.Chinnaswamy Stadium, Bengaluru",2010,419112,233,407.0,203,55.0
"Eden Gardens, Kolkata",2010,419113,236,273.0,164,34.0
"Arun Jaitley Stadium, Delhi",2010,419114,219,338.0,218,44.0
"M.Chinnaswamy Stadium, Bengaluru",2010,419115,183,185.0,92,22.0
"Arun Jaitley Stadium, Delhi",2010,419116,235,375.0,185,54.0
"Barabati Stadium, Cuttack",2010,419117,240,334.0,170,43.0
"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2010,419118,240,302.0,168,36.0
"Brabourne Stadium, Mumbai",2010,419119,235,306.0,151,38.0
"Barabati Stadium, Cuttack",2010,419120,240,322.0,171,38.0
"MA Chidambaram Stadium, Chepauk, Chennai",2010,419121,240,272.0,136,31.0
"Brabourne Stadium, Mumbai",2010,419122,231,311.0,155,39.0
"M.Chinnaswamy Stadium, Bengaluru",2010,419123,240,306.0,171,39.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2010,419124,235,335.0,183,41.0
"M.Chinnaswamy Stadium, Bengaluru",2010,419128,240,349.0,183,38.0
"Brabourne Stadium, Mumbai",2010,419125,234,361.0,180,43.0
"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2010,419126,214,299.0,148,34.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2010,419127,240,327.0,183,39.0
"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2010,419129,240,337.0,177,39.0
"Dr DY Patil Sports Academy, Mumbai",2010,419130,226,303.0,172,42.0
"Arun Jaitley Stadium, Delhi",2010,419131,240,314.0,177,36.0
"Brabourne Stadium, Mumbai",2010,419132,237,327.0,163,33.0
"MA Chidambaram Stadium, Chepauk, Chennai",2010,419133,233,323.0,161,38.0
"Arun Jaitley Stadium, Delhi",2010,419134,226,309.0,188,38.0
"Eden Gardens, Kolkata",2010,419135,240,338.0,181,44.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2010,419136,235,365.0,181,44.0
"MA Chidambaram Stadium, Chepauk, Chennai",2010,419137,240,469.0,246,69.0
"Brabourne Stadium, Mumbai",2010,419138,230,293.0,178,30.0
"Eden Gardens, Kolkata",2010,419139,230,404.0,200,55.0
"Arun Jaitley Stadium, Delhi",2010,419140,240,331.0,184,40.0
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2010,419141,238,316.0,159,38.0
"MA Chidambaram Stadium, Chepauk, Chennai",2010,419142,240,306.0,165,30.0
"Sawai Mansingh Stadium, Jaipur",2010,419143,210,310.0,153,42.0
"Eden Gardens, Kolkata",2010,419144,240,348.0,181,43.0
"M.Chinnaswamy Stadium, Bengaluru",2010,419145,236,370.0,184,48.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2010,419146,236,312.0,154,40.0
