Players,Team,Type,Base,Sold,Team_Name,season,pom_s1count,pom_s3count,name,nmatches_1s,total_runs_1s,ballsFaced_1s,total_fours_1s,total_sixes_1s,mediansr_1s,nmatches_3s,total_runs_3s,ballsFaced_3s,total_fours_3s,total_sixes_3s,run_rate_3s
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2009,0,0,JJ Bumrah,0,0,0,0,0,0.0,0,0,0,0,0,
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2010,0,0,JJ Bumrah,0,0,0,0,0,0.0,0,0,0,0,0,
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2011,0,0,JJ Bumrah,0,0,0,0,0,0.0,0,0,0,0,0,
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2012,0,0,JJ Bumrah,0,0,0,0,0,0.0,0,0,0,0,0,
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2013,0,0,JJ Bumrah,0,0,0,0,0,0.0,0,0,0,0,0,
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2014,0,0,JJ Bumrah,2,1,3,0,0,50.0,2,1,3,0,0,2.0
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2015,0,0,JJ Bumrah,1,0,0,0,0,,3,1,3,0,0,2.0
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2016,0,0,JJ Bumrah,2,8,11,1,0,83.33,5,9,14,1,0,3.857142857142857
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2017,1,1,JJ Bumrah,2,16,12,0,1,72.725,5,24,23,1,1,6.260869565217392
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2018,1,2,JJ Bumrah,3,10,11,1,0,80.0,7,34,34,2,1,6.0
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2019,3,5,JJ Bumrah,3,0,1,0,0,0.0,8,26,24,1,1,6.5
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2020,1,5,JJ Bumrah,1,5,3,0,0,166.66,7,15,15,1,0,6.0
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2021,0,4,JJ Bumrah,7,16,17,2,0,83.33,11,21,21,2,0,6.0
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2022,2,3,JJ Bumrah,6,0,8,0,0,0.0,14,21,28,2,0,4.5
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2023,0,2,JJ Bumrah,0,0,0,0,0,0.0,13,16,25,2,0,3.84
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2024,2,4,JJ Bumrah,4,12,12,1,0,100.0,10,12,20,1,0,3.6
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2008,0,0,SA Yadav,0,0,0,0,0,0.0,0,0,0,0,0,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2009,0,0,SA Yadav,0,0,0,0,0,0.0,0,0,0,0,0,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2010,0,0,SA Yadav,0,0,0,0,0,0.0,0,0,0,0,0,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2011,0,0,SA Yadav,0,0,0,0,0,0.0,0,0,0,0,0,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2012,0,0,SA Yadav,1,0,4,0,0,0.0,1,0,4,0,0,0.0
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2013,0,0,SA Yadav,0,0,0,0,0,0.0,1,0,4,0,0,0.0
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2014,0,0,SA Yadav,10,164,117,16,5,153.0,11,164,121,16,5,8.132231404958677
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2015,0,0,SA Yadav,13,157,113,12,8,100.0,23,321,230,28,13,8.373913043478261
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2016,1,1,SA Yadav,11,182,143,18,5,123.52,34,503,373,46,18,8.091152815013405
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2017,0,1,SA Yadav,7,105,88,8,3,113.33,31,444,344,38,16,7.744186046511628
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2018,1,2,SA Yadav,14,512,384,61,16,132.56,32,799,615,87,24,7.795121951219512
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2019,1,2,SA Yadav,15,424,324,45,10,135.29,36,1041,796,114,29,7.846733668341709
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2020,2,4,SA Yadav,15,480,331,61,11,134.21,44,1416,1039,167,37,8.177093358999038
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2021,0,3,SA Yadav,14,317,221,40,10,130.85,44,1221,876,146,31,8.363013698630137
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2022,1,3,SA Yadav,8,303,208,23,16,140.18,37,1100,760,124,37,8.68421052631579
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2023,2,3,SA Yadav,16,605,334,65,28,168.5,38,1225,763,128,54,9.63302752293578
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2024,1,4,SA Yadav,9,334,189,35,18,160.0,33,1242,731,123,62,10.194254445964432
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2008,0,0,HH Pandya,0,0,0,0,0,0.0,0,0,0,0,0,
