name,fullName,season,nmatchesbowl_1s,ballsdelivr_1s,total_maidens_1s,total_runscon_1s,total_wickets_1s,total_dots_1s,total_4sconc_1s,total_6sconc_1s,total_wides_1s,total_noballs_1s,median_econ_1s,nmatchesbowl_3s,ballsdelivr_3s,total_maidens_3s,total_runscon_3s,total_wickets_3s,total_dots_3s,total_4sconc_3s,total_6sconc_3s,total_wides_3s,total_noballs_3s,economyRate_1s,economyRate_3s
A Chandila,Ajit  Chandila,2017,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Chandila,Ajit  Chandila,2018,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Chandila,Ajit  Chandila,2019,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Chandila,Ajit  Chandila,2020,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Chandila,Ajit  Chandila,2021,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Chandila,Ajit  Chandila,2022,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Chandila,Ajit  Chandila,2023,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Chandila,Ajit  Chandila,2024,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Choudhary,Aniket Choudhary,2008,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Choudhary,Aniket Choudhary,2009,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Choudhary,Aniket Choudhary,2010,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Choudhary,Aniket Choudhary,2011,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Choudhary,Aniket Choudhary,2012,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Choudhary,Aniket Choudhary,2013,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Choudhary,Aniket Choudhary,2014,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Choudhary,Aniket Choudhary,2015,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Choudhary,Aniket Choudhary,2016,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Choudhary,Aniket Choudhary,2017,5,101,2,144,5,42,13,6,6,1,8.0,5,101,2,144,5,42,13,6,6,1,8.554455445544555,8.554455445544555
A Choudhary,Aniket Choudhary,2018,0,0,0,0,0,0,0,0,0,0,0.0,5,101,2,144,5,42,13,6,6,1,,8.554455445544555
A Choudhary,Aniket Choudhary,2019,0,0,0,0,0,0,0,0,0,0,0.0,5,101,2,144,5,42,13,6,6,1,,8.554455445544555
A Choudhary,Aniket Choudhary,2020,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Choudhary,Aniket Choudhary,2021,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Choudhary,Aniket Choudhary,2022,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Choudhary,Aniket Choudhary,2023,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Choudhary,Aniket Choudhary,2024,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Dananjaya,Akila Dananjaya,2008,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Dananjaya,Akila Dananjaya,2009,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Dananjaya,Akila Dananjaya,2010,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Dananjaya,Akila Dananjaya,2011,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
