Players,Team,Type,Base,Sold,Team_Name,season,pom_s1count,pom_s3count
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2013,0,0
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2014,0,0
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2015,0,0
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2016,1,1
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2017,0,1
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2018,1,2
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2019,1,2
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2020,2,4
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2021,0,3
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2022,1,3
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2023,2,3
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2024,1,4
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2008,0,0
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2009,0,0
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2010,0,0
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2011,0,0
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2012,0,0
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2013,0,0
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2014,0,0
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2015,2,2
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2016,0,2
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2017,0,2
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2018,1,1
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2019,3,4
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2020,0,4
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2021,0,3
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2022,2,2
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2023,0,2
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2024,0,2
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2008,0,0
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2009,2,2
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2010,1,3
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2011,0,3
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2012,2,3
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2013,2,4
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2014,1,5
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2015,1,4
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2016,4,6
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2017,1,6
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2018,2,7
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2019,1,4
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2020,1,4
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2021,0,2
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2022,0,1
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2023,1,1
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2024,0,1
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2008,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2009,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2010,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2011,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2012,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2013,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2014,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2015,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2016,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2017,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2018,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2019,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2020,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2021,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2022,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2023,0,0
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2024,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2008,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2009,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2010,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2011,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2012,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2013,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2014,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2015,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2016,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2017,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2018,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2019,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2020,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2021,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2022,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2023,0,0
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2024,0,0
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2008,0,0
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2009,0,0
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2010,0,0
