Players,Team,Type,Base,Sold,Team_Name,season,pom_s1count,pom_s3count,name,nmatches_1s,total_runs_1s,ballsFaced_1s,total_fours_1s,total_sixes_1s,mediansr_1s,nmatches_3s,total_runs_3s,ballsFaced_3s,total_fours_3s,total_sixes_3s,run_rate_3s,nmatchesbowl_1s,ballsdelivr_1s,total_maidens_1s,total_runscon_1s,total_wickets_1s,total_dots_1s,total_4sconc_1s,total_6sconc_1s,total_wides_1s,total_noballs_1s,median_econ_1s,nmatchesbowl_3s,ballsdelivr_3s,total_maidens_3s,total_runscon_3s,total_wickets_3s,total_dots_3s,total_4sconc_3s,total_6sconc_3s,total_wides_3s,total_noballs_3s,economyRate_1s,economyRate_3s
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2012,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2013,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2014,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2015,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2016,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2017,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2018,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2019,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2020,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2021,0,0,RM Patidar,4,71,62,3,3,101.665,4,71,62,3,3,6.870967741935484,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2022,1,1,RM Patidar,7,333,218,27,18,138.09,11,404,280,30,21,8.657142857142857,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2023,0,1,RM Patidar,0,0,0,0,0,0.0,11,404,280,30,21,8.657142857142857,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2024,1,2,RM Patidar,10,268,146,14,24,159.04500000000002,17,601,364,41,42,9.906593406593409,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2008,0,0,Yash Dayal,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2009,0,0,Yash Dayal,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2010,0,0,Yash Dayal,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2011,0,0,Yash Dayal,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2012,0,0,Yash Dayal,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2013,0,0,Yash Dayal,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2014,0,0,Yash Dayal,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2015,0,0,Yash Dayal,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2016,0,0,Yash Dayal,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2017,0,0,Yash Dayal,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2018,0,0,Yash Dayal,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2019,0,0,Yash Dayal,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2020,0,0,Yash Dayal,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2021,0,0,Yash Dayal,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2022,0,0,Yash Dayal,1,0,1,0,0,0.0,1,0,1,0,0,0.0,9,192,0,296,11,76,31,12,10,3,10.0,9,192,0,296,11,76,31,12,10,3,9.25,9.25
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2023,0,0,Yash Dayal,0,0,0,0,0,0.0,1,0,1,0,0,0.0,5,84,0,165,2,24,12,12,4,0,12.0,14,276,0,461,13,100,43,24,14,3,11.785714285714286,10.021739130434783
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru,2024,0,0,Yash Dayal,0,0,0,0,0,0.0,1,0,1,0,0,0.0,11,240,0,360,10,96,37,11,17,3,9.25,25,516,0,821,23,196,80,35,31,6,9.0,9.546511627906977
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2008,0,0,JJ Bumrah,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2009,0,0,JJ Bumrah,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2010,0,0,JJ Bumrah,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2011,0,0,JJ Bumrah,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2012,0,0,JJ Bumrah,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2013,0,0,JJ Bumrah,0,0,0,0,0,0.0,0,0,0,0,0,,2,42,0,70,3,17,10,2,1,2,10.33,2,42,0,70,3,17,10,2,1,2,10.0,10.0
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2014,0,0,JJ Bumrah,2,1,3,0,0,50.0,2,1,3,0,0,2.0,11,238,1,301,5,98,32,8,7,1,7.66,13,280,1,371,8,115,42,10,8,3,7.588235294117647,7.95
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2015,0,0,JJ Bumrah,1,0,0,0,0,,3,1,3,0,0,2.0,4,90,0,184,3,24,12,13,7,1,12.83,17,370,1,555,11,139,54,23,15,4,12.266666666666667,9.0
