Players,Team,Type,Base,Sold,Team_Name
Josh Inglis,PBKS,BAT,2.00,2.6,Punjab Kings
Ryan Rickelton,MI,BAT,1.00,1.0,Mumbai Indians
Deepak Chahar,MI,BOWL,2.00,9.25,Mumbai Indians
Gerald Coetzee,GT,BOWL,1.25,2.4,Gujarat Titans
Akash Deep,LSG,BOWL,1.00,8.0,Lucknow Super Giants
Tushar Deshpande,RR,BOWL,1.00,6.5,Rajasthan Royals
Lockie Ferguson,PBKS,BOWL,2.00,2.0,Punjab Kings
Bhuvneshwar Kumar,RCB,BOWL,2.00,10.75,Royal Challengers Bengaluru
Mukesh Kumar,DC,BOWL,2.00,8.0,Delhi Capitals
AM Ghazanfar,MI,BOWL,0.75,4.8,Mumbai Indians
Swastik Chikara,RCB,BAT,0.30,0.3,Royal Challengers Bengaluru
Shubham Dubey,RR,BAT,0.30,0.8,Rajasthan Royals
Shaik Rasheed,CSK,BAT,0.30,0.3,Chennai Super Kings
Himmat Singh,LSG,BAT,0.30,0.3,Lucknow Super Giants
Anshul Kamboj,CSK,AR,0.30,3.4,Chennai Super Kings
Arshad Khan,GT,AR,0.30,1.3,Gujarat Titans
Darshan Nalkande,DC,AR,0.30,0.3,Delhi Capitals
Anukul Roy,KKR,AR,0.30,0.4,Kolkata Knight Riders
Swapnil Singh,RCB,AR,0.30,0.5,Royal Challengers Bengaluru
Vansh Bedi,CSK,BAT,0.30,0.55,Chennai Super Kings
Kunal Singh Rathore,RR,BAT,0.30,0.3,Rajasthan Royals
Gurnoor Brar,GT,BOWL,0.30,1.3,Gujarat Titans
Mukesh Choudhary,CSK,BOWL,0.30,0.3,Chennai Super Kings
Arjun Tendulkar,MI,BOWL,0.30,0.3,Mumbai Indians
Zeeshan Ansari,SRH,BOWL,0.30,0.4,Sunrisers Hyderabad
Manimaran Siddharth,LSG,BOWL,0.30,0.75,Lucknow Super Giants
Digvesh Singh,LSG,BOWL,0.30,0.3,Lucknow Super Giants
Manish Pandey,KKR,BAT,0.75,0.75,Kolkata Knight Riders
Sherfane Rutherford,GT,BAT,1.50,2.6,Gujarat Titans
Shahbaz Ahmed,LSG,AR,1.00,2.4,Lucknow Super Giants
Moeen Ali,KKR,AR,2.00,2.0,Kolkata Knight Riders
Tim David,RCB,AR,2.00,3.0,Royal Challengers Bengaluru
Deepak Hooda,CSK,AR,0.75,1.7,Chennai Super Kings
Will Jacks,MI,AR,2.00,5.25,Mumbai Indians
Azmatullah Omarzai,PBKS,AR,1.50,2.4,Punjab Kings
Sai Kishore,GT,AR,0.75,2.0,Gujarat Titans
Romario Shepherd,RCB,AR,1.50,1.5,Royal Challengers Bengaluru
Spencer Johnson,KKR,BOWL,2.00,2.8,Kolkata Knight Riders
Umran Malik,KKR,BOWL,0.75,0.75,Kolkata Knight Riders
Ishant Sharma,GT,BOWL,0.75,0.75,Gujarat Titans
Nuwan Thushara,RCB,BOWL,0.75,1.6,Royal Challengers Bengaluru
Jaydev Unadkat,SRH,BOWL,1.00,1.0,Sunrisers Hyderabad
Sachin Baby,SRH,BAT,0.30,0.3,Sunrisers Hyderabad
Harnoor Singh,PBKS,BAT,0.30,0.3,Punjab Kings
C Andre Siddarth,CSK,BAT,0.30,0.3,Chennai Super Kings
Yudhvir Singh,RR,AR,0.30,0.35,Rajasthan Royals
