pom,season,pom_s1count,pom_s3count
Akash Madhwal,2013,0,0
Akash Madhwal,2014,0,0
Akash Madhwal,2015,0,0
Akash Madhwal,2016,0,0
Akash Madhwal,2017,0,0
Akash Madhwal,2018,0,0
Akash Madhwal,2019,0,0
Akash Madhwal,2020,0,0
Akash Madhwal,2021,0,0
Akash Madhwal,2022,0,0
Akash Madhwal,2023,1,1
Akash Madhwal,2024,0,1
Albie Morkel,2008,1,1
Albie Morkel,2009,0,1
Albie Morkel,2010,0,1
Albie Morkel,2011,1,1
Albie Morkel,2012,0,1
Albie Morkel,2013,0,1
Albie Morkel,2014,0,0
Albie Morkel,2015,0,0
Albie Morkel,2016,0,0
Albie Morkel,2017,0,0
Albie Morkel,2018,0,0
Albie Morkel,2019,0,0
Albie Morkel,2020,0,0
Albie Morkel,2021,0,0
Albie Morkel,2022,0,0
Albie Morkel,2023,0,0
Albie Morkel,2024,0,0
Alzarri Joseph,2008,0,0
Alzarri Joseph,2009,0,0
Alzarri Joseph,2010,0,0
Alzarri Joseph,2011,0,0
Alzarri Joseph,2012,0,0
Alzarri Joseph,2013,0,0
Alzarri Joseph,2014,0,0
Alzarri Joseph,2015,0,0
Alzarri Joseph,2016,0,0
Alzarri Joseph,2017,0,0
Alzarri Joseph,2018,0,0
Alzarri Joseph,2019,1,1
Alzarri Joseph,2020,0,1
Alzarri Joseph,2021,0,1
Alzarri Joseph,2022,0,0
Alzarri Joseph,2023,0,0
Alzarri Joseph,2024,0,0
Ambati Rayudu,2008,0,0
Ambati Rayudu,2009,0,0
Ambati Rayudu,2010,1,1
Ambati Rayudu,2011,1,2
Ambati Rayudu,2012,2,4
Ambati Rayudu,2013,0,3
Ambati Rayudu,2014,1,3
Ambati Rayudu,2015,1,2
Ambati Rayudu,2016,0,2
Ambati Rayudu,2017,1,2
Ambati Rayudu,2018,2,3
Ambati Rayudu,2019,0,3
Ambati Rayudu,2020,1,3
Ambati Rayudu,2021,0,1
Ambati Rayudu,2022,0,1
Ambati Rayudu,2023,0,0
Ambati Rayudu,2024,0,0
Amit Mishra,2008,1,1
Amit Mishra,2009,1,2
Amit Mishra,2010,0,2
Amit Mishra,2011,2,3
Amit Mishra,2012,0,2
Amit Mishra,2013,4,6
Amit Mishra,2014,0,4
Amit Mishra,2015,0,4
Amit Mishra,2016,1,1
Amit Mishra,2017,0,1
Amit Mishra,2018,1,2
Amit Mishra,2019,1,2
Amit Mishra,2020,0,2
Amit Mishra,2021,1,2
Amit Mishra,2022,0,1
Amit Mishra,2023,0,1
Amit Mishra,2024,0,0
Amit Singh,2008,0,0
Amit Singh,2009,1,1
Amit Singh,2010,0,1
Amit Singh,2011,0,1
Amit Singh,2012,0,0
Amit Singh,2013,0,0
Amit Singh,2014,0,0
Amit Singh,2015,0,0
Amit Singh,2016,0,0
Amit Singh,2017,0,0
Amit Singh,2018,0,0
